MSA,Population,Unnamed: 2,Unnamed: 3,Latitude,Longitude
"Boulder, CO Metro Area","326,831",,,40.0149856,-105.270545
"Bowling Green, KY Metro Area","188,840",,,36.9903199,-86.4436018
"Bozeman, MT Metro Area","126,409",,,45.6794293,-111.044047
"Bremerton-Silverdale-Port Orchard, WA Metro Area","277,658",,,47.5653663,-122.6246836
"Bridgeport-Stamford-Danbury, CT Metro Area","951,558",,,41.1792695,-73.1887863
"Brownsville-Harlingen, TX Metro Area","426,710",,,25.9738093,-97.5098892
"Brunswick-St Simons, GA Metro Area","116,074",,,31.1215636,-81.42715478784932
"Buffalo-Cheektowaga, NY Metro Area","1,155,604",,,42.92069325,-78.73962531904075
"Burlington, NC Metro Area","179,165",,,44.4761601,-73.212906
"Burlington-South Burlington, VT Metro Area","227,942",,,40.0745844,-74.868983
"Canton-Massillon, OH Metro Area","399,474",,,32.555664,-95.8640507
"Cape Coral-Fort Myers, FL Metro Area","834,573",,,26.7107375,-81.81300645982603
"Cape Girardeau, MO-IL Metro Area","98,223",,,37.3034933,-89.5230357
"Carson City, NV Metro Area","58,036",,,39.1698022,-119.7575628
"Casper, WY Metro Area","79,941",,,42.8501191,-106.325138
"Cedar Rapids, IA Metro Area","275,668",,,41.9758872,-91.6704053
"Chambersburg, PA Metro Area","157,854",,,39.9375112,-77.6612586
"Champaign-Urbana, IL Metro Area","235,608",,,40.1157948,-88.241194
"Charleston, WV Metro Area","203,164",,,32.7884363,-79.9399309
"Charleston-North Charleston, SC Metro Area","849,417",,,32.8546197,-79.9748103
"Charlotte-Concord-Gastonia, NC-SC Metro Area","2,805,115",,,35.2599526,-80.7727747
"Charlottesville, VA Metro Area","225,127",,,38.029306,-78.4766781
"Chattanooga, TN-GA Metro Area","580,971",,,35.0457219,-85.3094883
"Cheyenne, WY Metro Area","100,984",,,41.139981,-104.820246
"Chicago-Naperville-Elgin, IL-IN Metro Area","9,262,825",,,41.80254535,-88.12826267083318
"Chico, CA Metro Area","207,172",,,39.7284945,-121.8374777
"Cincinnati, OH-KY-IN Metro Area","2,271,479",,,39.1014537,-84.5124602
"Clarksville, TN-KY Metro Area","340,495",,,36.5277607,-87.3588703
"Cleveland, OH Metro Area","2,158,932",,,41.4996574,-81.6936772
"Cleveland, TN Metro Area","129,612",,,41.4996574,-81.6936772
"Coeur d'Alene, ID Metro Area","185,010",,,47.6742994,-116.7811531
"College Station-Bryan, TX Metro Area","281,445",,,30.6159088,-96.3490411
"Colorado Springs, CO Metro Area","768,832",,,38.8339578,-104.825348
"Columbia, MO Metro Area","216,511",,,4.099917,-72.9088133
"Columbia, SC Metro Area","858,302",,,4.099917,-72.9088133
"Columbus, GA-AL Metro Area","323,768",,,39.9622601,-83.0007065
"Columbus, IN Metro Area","84,003",,,39.9622601,-83.0007065
"Columbus, OH Metro Area","2,180,271",,,39.9622601,-83.0007065
"Corpus Christi, TX Metro Area","448,323",,,27.7635302,-97.4033191
"Corvallis, OR Metro Area","97,713",,,44.5645659,-123.2620435
"Crestview-Fort Walton Beach-Destin, FL Metro Area","304,818",,,30.7621326,-86.5705084
"Dallas-Fort Worth-Arlington, TX Metro Area","8,100,037",,,32.759543,-97.0753033
"Dalton, GA Metro Area","144,722",,,46.173849,-95.915609
"Daphne-Fairhope-Foley, AL Metro Area","253,507",,,30.6104698,-87.8844376
"Davenport-Moline-Rock Island, IA-IL Metro Area","379,441",,,41.5235808,-90.5770967
"Dayton-Kettering-Beavercreek, OH Metro Area","814,363",,,39.7260754,-84.0718563
"Decatur, AL Metro Area","158,635",,,39.8454163,-88.9524151
"Decatur, IL Metro Area","100,591",,,39.8454163,-88.9524151
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area","721,796",,,28.904843,-81.2273119
"Denver-Aurora-Centennial, CO Metro Area","3,005,131",,,39.6530035,-104.70847984789646
"Des Moines-West Des Moines, IA Metro Area","737,164",,,,
"Detroit-Warren-Dearborn, MI Metro Area","4,342,304",,,42.4974118,-83.04100551720501
"Dothan, AL Metro Area","153,349",,,31.2237285,-85.3934375
"Dover, DE Metro Area","189,789",,,51.1251275,1.3134228
"Dubuque, IA Metro Area","98,887",,,42.5006243,-90.6647985
"Duluth, MN-WI Metro Area","281,603",,,46.7729322,-92.1251218
"Durham-Chapel Hill, NC Metro Area","608,879",,,54.4899809,-1.9148002
"Eagle Pass, TX Metro Area","57,762",,,28.7083999,-100.503941
"Eau Claire, WI Metro Area","174,873",,,44.811349,-91.4984941
"El Centro, CA Metro Area","179,057",,,32.792,-115.563051
"El Paso, TX Metro Area","873,331",,,31.7601164,-106.4870404
"Elizabethtown, KY Metro Area","127,576",,,37.693952,-85.8591285
"Elkhart-Goshen, IN Metro Area","206,409",,,41.5850394,-85.8344491
"Elmira, NY Metro Area","81,325",,,42.0897965,-76.8077338
"Enid, OK Metro Area","62,023",,,36.3967623,-97.8791341
"Erie, PA Metro Area","267,571",,,42.1294712,-80.0852695
"Eugene-Springfield, OR Metro Area","381,181",,,44.0553238,-123.09253537848451
"Evansville, IN Metro Area","270,717",,,37.970495,-87.5715641
"Fairbanks-College, AK Metro Area","94,840",,,,
"Fargo, ND-MN Metro Area","262,620",,,46.877229,-96.789821
"Farmington, NM Metro Area","120,675",,,44.6402434,-93.1435497
"Fayetteville, NC Metro Area","392,336",,,36.0625843,-94.1574328
"Fayetteville-Springdale-Rogers, AR Metro Area","590,337",,,36.1402749,-94.12150539487672
"Flagstaff, AZ Metro Area","144,472",,,35.1987522,-111.651822
"Flint, MI Metro Area","401,522",,,43.0161693,-83.6900211
"Florence, SC Metro Area","199,630",,,43.7697955,11.2556404
"Florence-Muscle Shoals, AL Metro Area","155,175",,,34.81502,-87.642985
"Fond du Lac, WI Metro Area","103,948",,,43.7533414,-88.4493796
"Fort Collins-Loveland, CO Metro Area","370,771",,,40.5154761,-105.0752731030216
"Fort Smith, AR-OK Metro Area","231,280",,,35.3880338,-94.4265011
"Fort Wayne, IN Metro Area","457,842",,,41.0799898,-85.1386015
"Fresno, CA Metro Area","1,180,020",,,36.7394421,-119.78483
"Gadsden, AL Metro Area","103,241",,,34.0128323,-86.0030251
"Gainesville, FL Metro Area","352,126",,,29.6519684,-82.3249846
"Gainesville, GA Metro Area","217,267",,,29.6519684,-82.3249846
"Gettysburg, PA Metro Area","106,748",,,39.8308973,-77.231012
"Glens Falls, NY Metro Area","125,427",,,43.309941,-73.644447
"Goldsboro, NC Metro Area","118,686",,,35.3848841,-77.9927651
"Grand Forks, ND-MN Metro Area","103,120",,,47.9252042,-97.0306741
"Grand Island, NE Metro Area","76,479",,,40.924271,-98.338685
"Grand Junction, CO Metro Area","159,681",,,39.0672568,-108.56448
"Grand Rapids-Wyoming-Kentwood, MI Metro Area","1,162,950",,,42.940103199999996,-85.69597539050343
"Grants Pass, OR Metro Area","87,821",,,42.4393707,-123.3272489
"Great Falls, MT Metro Area","84,900",,,47.5048851,-111.29189
"Greeley, CO Metro Area","359,442",,,38.4570355,-101.8185007
"Green Bay, WI Metro Area","331,882",,,44.5126379,-88.0125794
"Greensboro-High Point, NC Metro Area","789,842",,,35.9848662,-79.9693891
"Greenville, NC Metro Area","175,119",,,34.851354,-82.3984882
"Greenville-Anderson-Greer, SC Metro Area","975,480",,,34.6167203,-82.47466188430883
"Gulfport-Biloxi, MS Metro Area","421,916",,,30.40711375,-89.07143302103171
"Hagerstown-Martinsburg, MD-WV Metro Area","305,902",,,39.6430455,-77.7191081
"Hammond, LA Metro Area","138,064",,,41.6173959,-87.5220108
"Hanford-Corcoran, CA Metro Area","152,682",,,,
"Harrisburg-Carlisle, PA Metro Area","606,055",,,40.2123578,-77.178903
"Harrisonburg, VA Metro Area","137,650",,,38.4493315,-78.8688833
"Hartford-West Hartford-East Hartford, CT Metro Area","1,151,543",,,41.8028991,-72.7818138
"Hattiesburg, MS Metro Area","155,740",,,31.3271189,-89.2903392
"Helena, MT Metro Area","96,091",,,,
"Hickory-Lenoir-Morganton, NC Metro Area","370,030",,,35.7374104,-81.3241104
"Hilton Head Island-Bluffton-Port Royal, SC Metro Area","232,523",,,32.27068705,-80.86173033551367
"Hinesville, GA Metro Area","88,804",,,31.8477347,-81.5960705
"Homosassa Springs, FL Metro Area","166,696",,,28.8035939,-82.5759329
"Hot Springs, AR Metro Area","99,784",,,34.5038393,-93.0552437
"Houma-Bayou Cane-Thibodaux, LA Metro Area","198,672",,,29.620268,-90.755927
"Houston-Pasadena-The Woodlands, TX Metro Area","7,510,253",,,29.73993665,-95.1961062345728
"Huntington-Ashland, WV-KY-OH Metro Area","368,261",,,40.880252,-73.318432
"Huntsville, AL Metro Area","527,254",,,34.729847,-86.5859011
"Idaho Falls, ID Metro Area","168,322",,,43.4887907,-112.03628
"Indianapolis-Carmel-Greenwood, IN Metro Area","2,138,468",,,39.95530865,-86.16630440162524
"Iowa City, IA Metro Area","180,088",,,41.6612561,-91.5299106
"Ithaca, NY Metro Area","103,558",,,42.437417499999995,-76.54837235139263
"Jackson, MI Metro Area","159,424",,,32.2998686,-90.1830408
"Jackson, MS Metro Area","610,257",,,32.2998686,-90.1830408
"Jackson, TN Metro Area","181,826",,,32.2998686,-90.1830408
"Jacksonville, FL Metro Area","1,713,240",,,30.3321838,-81.655651
"Jacksonville, NC Metro Area","213,676",,,30.3321838,-81.655651
"Janesville-Beloit, WI Metro Area","164,278",,,42.6715098,-89.0109595
"Jefferson City, MO Metro Area","150,733",,,38.577359,-92.1724265
"Johnson City, TN Metro Area","213,198",,,36.3134398,-82.3534728
"Johnstown, PA Metro Area","130,668",,,40.3267407,-78.9219698
"Jonesboro, AR Metro Area","136,390",,,35.8272257,-90.6949871
"Joplin, MO-KS Metro Area","204,787",,,37.0841838,-94.5133385
"Kahului-Wailuku, HI Metro Area","164,264",,,20.900756,-156.4815789
"Kalamazoo-Portage, MI Metro Area","262,215",,,42.2011538,-85.5800022
"Kankakee, IL Metro Area","105,940",,,41.1253903,-87.848682
"Kansas City, MO-KS Metro Area","2,221,343",,,39.100105,-94.5781416
"Kennewick-Richland, WA Metro Area","314,253",,,46.229249,-119.228476
"Kenosha, WI Metro Area","167,488",,,42.5846773,-87.8212263
"Killeen-Temple, TX Metro Area","501,333",,,31.1171441,-97.727796
"Kingsport-Bristol, TN-VA Metro Area","313,025",,,36.550238,-82.5594293
"Kingston, NY Metro Area","182,333",,,,
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area","704,620",,,41.3420393,-74.1679241
"Knoxville, TN Metro Area","946,264",,,35.9603948,-83.9210261
"Kokomo, IN Metro Area","83,831",,,40.4864444,-86.1336351
"La Crosse-Onalaska, WI-MN Metro Area","170,238",,,43.8830606,-91.2343539
"Lafayette, LA Metro Area","414,288",,,29.9978185,-83.2221527
"Lafayette-West Lafayette, IN Metro Area","226,564",,,40.2753487,-81.7509601
"Lake Charles, LA Metro Area","240,082",,,30.2305095,-93.2169807
"Lake Havasu City-Kingman, AZ Metro Area","223,682",,,34.4775296,-114.3379972
"Lakeland-Winter Haven, FL Metro Area","818,330",,,28.0394654,-81.9498042
"Lancaster, PA Metro Area","558,589",,,40.08067,-76.2411283
"Lansing-East Lansing, MI Metro Area","473,177",,,42.5684051,-76.4693831
"Laredo, TX Metro Area","269,148",,,27.5056251,-99.5074517
"Las Cruces, NM Metro Area","225,210",,,32.3140354,-106.779807
"Las Vegas-Henderson-North Las Vegas, NV Metro Area","2,336,573",,,,
"Lawrence, KS Metro Area","120,553",,,41.001415,-80.350071
"Lawton, OK Metro Area","127,001",,,34.6086854,-98.3903305
"Lebanon, PA Metro Area","144,252",,,40.375713,-76.4626118
"Lewiston, ID-WA Metro Area","65,536",,,46.4195913,-117.0216144
"Lewiston-Auburn, ME Metro Area","113,765",,,44.04808285,-70.28316628451043
"Lexington Park, MD Metro Area","210,009",,,40.0534446,-75.0462829
"Lexington-Fayette, KY Metro Area","520,045",,,38.0464066,-84.4970393
"Lima, OH Metro Area","100,838",,,-12.0621065,-77.0365256
"Lincoln, NE Metro Area","344,387",,,40.8088861,-96.7077751
"Little Rock-North Little Rock-Conway, AR Metro Area","764,045",,,34.762236,-92.204538
"Logan, UT-ID Metro Area","157,887",,,40.1075089,-89.3768539
"Longview, TX Metro Area","293,498",,,32.5007031,-94.74049
"Longview-Kelso, WA Metro Area","112,864",,,46.1045573,-122.8882009
"Los Angeles-Long Beach-Anaheim, CA Metro Area","12,799,100",,,,
"Louisville/Jefferson County, KY-IN Metro Area","1,365,557",,,38.209237,-85.7038502
"Lubbock, TX Metro Area","360,104",,,33.5855677,-101.8470215
"Lynchburg, VA Metro Area","264,590",,,37.4137536,-79.1422464
"Macon-Bibb County, GA Metro Area","236,074",,,32.8406946,-83.6324022
"Madison, WI Metro Area","694,345",,,43.074761,-89.3837613
"Manchester-Nashua, NH Metro Area","427,354",,,42.9962055,-71.4520255
"Manhattan, KS Metro Area","132,831",,,40.7896239,-73.9598939
"Mankato, MN Metro Area","104,248",,,44.1634663,-93.9993505
"Mansfield, OH Metro Area","125,064",,,40.75839,-82.5154471
"McAllen-Edinburg-Mission, TX Metro Area","898,471",,,26.3000366,-98.2117249
"Medford, OR Metro Area","220,768",,,42.4184296,-71.1061639
"Memphis, TN-MS-AR Metro Area","1,335,674",,,35.1460249,-90.0517638
"Merced, CA Metro Area","291,920",,,37.1641544,-120.7678602
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","6,183,199",,,26.0906032,-80.1362729
"Michigan City-La Porte, IN Metro Area","111,706",,,41.7099264,-86.8946587
"Midland, MI Metro Area","84,039",,,31.83688,-102.0103767
"Midland, TX Metro Area","182,324",,,31.83688,-102.0103767
"Milwaukee-Waukesha, WI Metro Area","1,560,424",,,42.99352825,-88.13938905701437
"Minneapolis-St Paul-Bloomington, MN-WI Metro Area","3,712,020",,,44.860244949999995,-93.22434792232738
"Minot, ND Metro Area","75,742",,,47.6698594,4.8786165
"Missoula, MT Metro Area","126,939",,,46.8701049,-113.995267
"Mobile, AL Metro Area","411,640",,,30.6913462,-88.0437509
"Modesto, CA Metro Area","551,430",,,37.6393419,-120.9968892
"Monroe, LA Metro Area","221,885",,,38.2722313,-90.1792484
"Monroe, MI Metro Area","155,045",,,38.2722313,-90.1792484
"Montgomery, AL Metro Area","385,480",,,32.3669656,-86.3006485
"Morgantown, WV Metro Area","141,817",,,39.6296809,-79.9559437
"Morristown, TN Metro Area","124,054",,,40.7970382,-74.4809868
"Mount Vernon-Anacortes, WA Metro Area","131,417",,,48.4369046,-122.36944600126611
"Muncie, IN Metro Area","112,321",,,40.1936892,-85.3865271
"Muskegon-Norton Shores, MI Metro Area","176,564",,,43.1689044,-86.2639461
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area","397,478",,,33.68372015,-78.96215005834623
"Napa, CA Metro Area","133,216",,,38.2971367,-122.2855293
"Naples-Marco Island, FL Metro Area","404,310",,,26.06825765,-81.69837727006191
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","2,102,573",,,36.094514,-86.653638
"New Haven, CT Metro Area","568,158",,,41.3082138,-72.9250518
"New Orleans-Metairie, LA Metro Area","962,165",,,29.9833023,-90.11844598682563
"New York-Newark-Jersey City, NY-NJ Metro Area","19,498,249",,,40.7157954,-74.0924178
"Niles, MI Metro Area","152,261",,,42.0289319,-87.8122348
"North Port-Bradenton-Sarasota, FL Metro Area","910,108",,,27.044224,-82.2359254
"Norwich-New London-Willimantic, CT Metro Area","279,634",,,41.5243537,-72.0759008
"Ocala, FL Metro Area","409,959",,,29.1871986,-82.1400923
"Odessa, TX Metro Area","164,494",,,46.4843023,30.7322878
"Ogden, UT Metro Area","658,133",,,41.2230048,-111.9738429
"Oklahoma City, OK Metro Area","1,477,926",,,35.4729886,-97.5170536
"Olympia-Lacey-Tumwater, WA Metro Area","299,003",,,46.991448500000004,-122.79387026449703
"Omaha, NE-IA Metro Area","983,969",,,41.2587459,-95.9383758
"Orlando-Kissimmee-Sanford, FL Metro Area","2,817,933",,,36.715499,-76.576572
"Oshkosh-Neenah, WI Metro Area","171,735",,,44.1099849,-88.5051118
"Owensboro, KY Metro Area","112,512",,,37.7742152,-87.1133304
"Oxnard-Thousand Oaks-Ventura, CA Metro Area","829,590",,,34.1976308,-119.180381
"Paducah, KY-IL Metro Area","102,267",,,37.0833893,-88.6000478
"Palm Bay-Melbourne-Titusville, FL Metro Area","643,979",,,27.9098127,-80.7214449
"Panama City-Panama City Beach, FL Metro Area","216,371",,,30.169838050000003,-85.75583301214297
"Parkersburg-Vienna, WV Metro Area","88,052",,,39.2667309,-81.5620755
"Pensacola-Ferry Pass-Brent, FL Metro Area","530,090",,,30.4878656,-87.2245765819797
"Peoria, IL Metro Area","362,240",,,40.6938609,-89.5891008
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","6,246,160",,,36.2598808,-76.0471478
"Phoenix-Mesa-Chandler, AZ Metro Area","5,070,110",,,33.38486245,-111.84109601870159
"Pinehurst-Southern Pines, NC Metro Area","106,898",,,39.1385662,-86.5489796
"Pittsburgh, PA Metro Area","2,422,725",,,40.4416941,-79.9900861
"Pittsfield, MA Metro Area","126,818",,,42.451302,-73.260018
"Pocatello, ID Metro Area","90,400",,,42.8620287,-112.450627
"Port St Lucie, FL Metro Area","536,901",,,27.2939333,-80.3503283
"Portland-South Portland, ME Metro Area","566,329",,,45.48825,-122.676439
"Portland-Vancouver-Hillsboro, OR-WA Metro Area","2,508,050",,,45.5927226,-122.6642163
"Prescott Valley-Prescott, AZ Metro Area","249,081",,,34.6019688,-112.3162766
"Providence-Warwick, RI-MA Metro Area","1,677,803",,,31.8365516,-83.9186734
"Provo-Orem-Lehi, UT Metro Area","732,197",,,40.3139012,-111.6565532
"Pueblo, CO Metro Area","169,422",,,38.2544472,-104.609141
"Punta Gorda, FL Metro Area","206,134",,,26.9351529,-82.0512058
"Racine-Mount Pleasant, WI Metro Area","196,613",,,42.7292465,-87.851473
"Raleigh-Cary, NC Metro Area","1,509,231",,,35.7805205,-78.7477672
"Rapid City, SD Metro Area","155,974",,,44.0806041,-103.228023
"Reading, PA Metro Area","432,821",,,51.4564242,-0.9700664
"Redding, CA Metro Area","180,366",,,40.5863563,-122.391675
"Reno, NV Metro Area","564,782",,,39.5261206,-119.8126581
"Richmond, VA Metro Area","1,349,732",,,37.5385087,-77.43428
"Riverside-San Bernardino-Ontario, CA Metro Area","4,688,053",,,34.0336094,-117.5500034
"Roanoke, VA Metro Area","314,314",,,37.270973,-79.9414313
"Rochester, MN Metro Area","229,077",,,43.157285,-77.615214
"Rochester, NY Metro Area","1,052,087",,,43.157285,-77.615214
"Rockford, IL Metro Area","334,124",,,42.2713945,-89.093966
"Rocky Mount, NC Metro Area","145,383",,,35.9423833,-77.7956949
"Rome, GA Metro Area","100,113",,,41.8933203,12.4829321
"Sacramento-Roseville-Folsom, CA Metro Area","2,420,608",,,38.6381534,-121.402348
"Saginaw, MI Metro Area","187,782",,,43.4200387,-83.9490365
"Salem, OR Metro Area","436,546",,,44.9391565,-123.033121
"Salinas, CA Metro Area","430,723",,,36.6744117,-121.655037
"Salisbury, MD Metro Area","129,710",,,51.0690613,-1.7954134
"Salt Lake City-Murray, UT Metro Area","1,267,864",,,40.6419694,-111.8466499
"San Angelo, TX Metro Area","120,606",,,31.4649685,-100.4405094
"San Antonio-New Braunfels, TX Metro Area","2,703,999",,,29.3904072,-98.4612327
"San Diego-Chula Vista-Carlsbad, CA Metro Area","3,269,973",,,32.6400541,-117.084195
"San Francisco-Oakland-Fremont, CA Metro Area","4,566,961",,,37.7864982,-122.3904007
"San Jose-Sunnyvale-Santa Clara, CA Metro Area","1,945,767",,,37.4079318,-122.00864396680362
"San Luis Obispo-Paso Robles, CA Metro Area","281,639",,,35.6262618,-120.6901319
"Sandusky, OH Metro Area","113,838",,,41.2951563,-83.1555438
"Santa Cruz-Watsonville, CA Metro Area","261,547",,,36.9092773,-121.7529071
"Santa Fe, NM Metro Area","155,956",,,-30.3154739,-61.1645076
"Santa Maria-Santa Barbara, CA Metro Area","441,257",,,34.9531295,-120.435857
"Santa Rosa-Petaluma, CA Metro Area","481,812",,,38.4173657,-122.7042589
"Savannah, GA Metro Area","424,935",,,32.0790074,-81.0921335
"Scranton--Wilkes-Barre, PA Metro Area","569,413",,,41.25146325,-75.84007933036455
"Seattle-Tacoma-Bellevue, WA Metro Area","4,044,837",,,47.4475673,-122.3080158569515
"Sebastian-Vero Beach-West Vero Corridor, FL Metro Area","169,795",,,,
"Sebring, FL Metro Area","107,614",,,27.4957453,-81.4410425
"Sheboygan, WI Metro Area","117,752",,,43.7128967,-87.9370433
"Sherman-Denison, TX Metro Area","146,907",,,33.7228689,-96.55398844676102
"Shreveport-Bossier City, LA Metro Area","383,295",,,32.5018732,-93.6858856
"Sierra Vista-Douglas, AZ Metro Area","124,640",,,39.551493949999994,-104.76164503607313
"Sioux City, IA-NE-SD Metro Area","144,402",,,42.4966815,-96.4058782
"Sioux Falls, SD-MN Metro Area","304,555",,,43.5476008,-96.7293629
"Slidell-Mandeville-Covington, LA Metro Area","275,583",,,30.2751945,-89.7811745
"South Bend-Mishawaka, IN-MI Metro Area","324,490",,,41.6673223,-86.2342397
"Spartanburg, SC Metro Area","383,327",,,34.9498007,-81.9320157
"Spokane-Spokane Valley, WA Metro Area","600,292",,,47.6571104,-117.2613936
"Springfield, IL Metro Area","205,445",,,39.7990175,-89.6439575
